"name","org.code","year","students","grade","maxgrade","address","latitude","longitude","zip","boston","charter","charter.alt","boston2","mingrade"
"BOSTON - YOUNG ACHIEVERS",350380,"2000","39",-1,6,"20 Outlook Road, Mattapan, MA 02126",42.28198349,-71.09399311,2126,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - AGASSIZ",350007,"2001","32",-1,5,"20 Child St, Jamaica Plain, MA 02130",42.3073176,-71.1144849,2130,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - ALEXANDER HAMILTON",350011,"2001","1",-1,5,"198 Strathmore Rd, Brighton, MA 02135",42.3400691,-71.1545111,2135,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - BLACKSTONE",350390,"2001","35",-1,5,"380 Shawmut Avenue, Boston, MA 02118",42.3402746,-71.07350707,2118,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - BLUE HILL AVE ECC",350010,"2001","62",-1,1,"263 Blue Hill Avenue, Roxbury , MA 02119",42.31538169,-71.07848391,2119,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - CHARLES H TAYLOR",350054,"2001","6",-1,5,"1060 Morton Street, Mattapan, MA 02126",42.27751091,-71.07775569,2126,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - CHARLES SUMNER",350052,"2001","1",-1,5,"15 Basile Street, Roslindale, MA 02131",42.28640747,-71.12687683,2131,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - CURTIS GUILD",350062,"2001","6",-1,5,"195 Leyden Street, East Boston, MA 02128",42.38860801,-71.00412302,2128,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - EAST BOSTON ECC",350009,"2001","63",-1,1,"135 Grove Street, East Boston, MA 02128",42.391456,-71.027336,2128,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - EDWARD EVERETT",350088,"2001","13",-1,5,"71 Pleasant Street, Dorchester, MA 02125",42.31405869,-71.05980903,2125,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - ELC - EAST ZONE",350005,"2001","44",-1,1,"370 Columbia Rd, Dorchester, MA 02125",42.311196,-71.071393,2125,TRUE,FALSE,FALSE,TRUE,-1
"BOSTON                         - ELC - NORTH ZONE",350003,"2001","45",-1,1,"121 Corey Road, Brighton, MA 02135",42.34194565,-71.14056396,2135,TRUE,FALSE,FALSE,TRUE,-1
